reuse_distance,nanoseconds
6,18.193
223773,200.119
316256,187.795
63,19.953
11564,32.277
940206,203.640
14,18.193
8,18.193
3794,31.690
1101142,134.391
3,17.606
222,26.996
50,18.193
637,28.169
211576,162.560
46,18.779
488,25.822
89372,100.353
12,18.779
226,29.930
12,18.779
691,85.681
1383411,167.255
1500284,148.475
370,24.648
25,19.366
118,18.779
8218,29.930
423636,223.006
3,18.193
22782,95.658
1,18.779
673085,176.645
3435,25.822
81,18.779
3711,107.982
1540,26.409
1191,24.648
30646,31.104
2,18.193
625,24.648
342018,98.005
620,25.235
31446,85.681
103,18.779
62,18.779
15,18.193
53369,32.277
2,18.779
128,18.779
5,17.606
34,18.193
129784,216.551
3,18.779
6,18.193
22,18.779
120,27.582
2930,25.822
188431,207.748
24,18.779
8814,32.277
2047,26.996
8,18.779
2829,28.756
3,18.193
2531,152.583
2,19.366
5165,31.104
1,18.193
153442,211.269
14395,26.996
899,25.822
25024,31.690
4,18.193
8,18.779
1,18.193
267,19.953
209,20.540
66162,268.195
712,26.409
39275,174.297
384464,230.049
24727,29.343
2430,26.409
1473739,380.285
613574,259.392
55729,205.401
84,19.366
857,133.217
5007,25.235
2051,24.061
3,18.779
1,19.366
64056,199.532
10194,36.972
16,18.193
77,19.366
51043,91.550
84677,313.383
111,19.366
3734,26.996
577,25.822
99955,217.138
44,18.193
2477,26.409
1347664,268.781
55,19.366
661592,200.119
112,19.366
1,18.779
129,19.366
2,18.193
670119,212.443
2,18.779
6118,29.930
470915,151.996
1627065,154.931
162,19.366
18,18.779
502,26.996
814160,99.766
38917,163.147
2397,113.851
1,18.193
1188,25.822
11,19.366
31,18.779
91913,259.979
594780,152.583
1,18.779
4,18.779
1059,24.648
730,25.822
487006,187.208
47203,92.137
1808695,190.142
312958,190.142
1,18.779
570592,162.560
20,19.366
2,18.193
61,19.366
50,18.779
1452461,153.757
162,18.779
308915,152.583
326150,179.579
125,19.953
23,18.779
2,18.779
83742,153.170
9,18.193
114814,93.311
95,18.779
17,18.779
65,19.366
1115,27.582
548,79.813
2,18.779
316,25.235
606,26.996
13,18.193
335058,162.560
503170,175.471
3,19.366
7541,27.582
433960,163.734
1009970,160.213
9378,27.582
118071,161.973
6,18.779
20327,33.451
3,18.193
447,106.808
14078,40.493
555,37.559
71,19.953
2189,24.061
70376,155.518
1720,24.648
6459,25.822
2810,25.235
15997,32.277
188,18.779
268990,152.583
282258,95.071
23014,29.930
143,27.582
73,18.779
65643,94.484
45254,92.137
50910,152.583
912233,149.062
7230,87.442
12215,28.756
1,18.779
26,19.366
2527,26.409
1417773,157.278
243842,156.691
47,18.779
6,18.779
2363,34.038
490,89.203
3184,25.822
15,19.366
274071,194.837
228802,184.861
34738,121.480
9197,91.550
187,26.409
35,19.953
12,18.779
1,18.779
37838,127.348
1,18.193
404192,169.015
415,25.822
200,19.366
14,18.779
12,18.779
4,18.779
724765,213.617
5,18.779
35284,119.132
4221,88.616
7,18.779
917412,184.861
5,19.366
5,18.779
106670,167.842
724,24.648
35,19.366
120,19.366
354988,154.344
111594,159.039
1907,27.582
46392,117.959
12175,88.616
19,18.779
201,18.779
1,18.193
3380,88.029
2507,25.235
1,18.193
60,19.953
3964,25.822
630781,203.053
25328,31.690
896485,187.795
4,18.193
329213,147.302
2,18.779
1,18.779
1861295,191.316
73607,123.240
6246,27.582
4,19.366
32200,37.559
31784,25.235
32,19.366
1637,26.409
5,18.779
1324,26.409
196897,174.297
1,18.779
70,18.193
116,27.582
86178,200.119
857962,210.096
5658,39.906
8,18.779
935014,165.494
8,18.779
20965,36.385
1459181,203.640
556,83.921
39,19.366
438893,204.814
6,19.366
1,18.779
1879300,166.668
1,18.193
35,18.193
1,18.193
1963470,177.231
1,18.193
8283,39.320
6,18.779
39941,111.503
125,19.366
249,18.779
31,18.193
1377,24.648
330091,164.907
2,18.193
2559,19.366
11,18.193
524,80.400
98,19.366
4,18.779
1,18.779
879,24.648
2,17.606
12,18.193
8,18.779
1,18.779
7181,35.798
348,26.996
617822,205.988
48260,32.277
5901,31.104
553643,224.767
